espn_id,barttorvik_name,match_method
PRST,Portland St.,automatic
PSU,Penn St.,automatic
PUR,Purdue,automatic
PV,Prairie View A&M,automatic
QUIN,Quinnipiac,automatic
RAD,Radford,automatic
RGV,UT Rio Grande Valley,automatic
RICE,Rice,automatic
RICH,Richmond,automatic
RID,Rider,automatic
RMU,Robert Morris,automatic
RUTG,Rutgers,automatic
SAC,Sacramento St.,automatic
SAM,Samford,automatic
SBU,St. Bonaventure,automatic
SC,South Carolina,automatic
SCST,South Carolina St.,automatic
SCU,Santa Clara,automatic
SDAK,South Dakota,automatic
SDST,South Dakota St.,automatic
SDSU,San Diego St.,automatic
SEA,Seattle,automatic
SELA,Southeastern Louisiana,manual
SEMO,Southeast Missouri St.,automatic
SF,San Francisco,automatic
SFA,Stephen F. Austin,automatic
SFPA,Saint Francis,automatic
SHSU,Sam Houston St.,manual
SHU,Sacred Heart,automatic
SIE,Siena,automatic
SIU,Southern Illinois,automatic
SIUE,SIU Edwardsville,automatic
SJSU,San Jose St.,manual
SJU,St. John's,automatic
SLU,Saint Louis,automatic
SMC,Saint Mary's,automatic
SMU,SMU,automatic
SOU,Southern,automatic
SPU,Saint Peter's,automatic
STAN,Stanford,automatic
STBK,Stony Brook,automatic
STET,Stetson,automatic
STMN,St. Thomas,manual
STO,Stonehill,automatic
SUU,Southern Utah,automatic
SYR,Syracuse,automatic
TA&M,Texas A&M,automatic
TAR,Tarleton St.,automatic
TCU,TCU,automatic
TEM,Temple,automatic
TENN,Tennessee,automatic
TEX,Texas,automatic
TLSA,Tulsa,automatic
TNST,Tennessee St.,automatic
TNTC,Tennessee Tech,automatic
TOL,Toledo,automatic
TOW,Towson,automatic
TROY,Troy,automatic
TTU,Texas Tech,automatic
TULN,Tulane,automatic
TXSO,Texas Southern,automatic
TXST,Texas St.,automatic
UAB,UAB,automatic
UALB,Albany,manual
UAPB,Arkansas Pine Bluff,manual
UCD,UC Davis,automatic
UCF,UCF,automatic
UCI,UC Irvine,automatic
UCLA,UCLA,automatic
UCR,UC Riverside,automatic
UCSB,UC Santa Barbara,automatic
UCSD,UC San Diego,automatic
UGA,Georgia,automatic
UIC,Illinois Chicago,manual
UIW,Incarnate Word,automatic
UK,Kentucky,automatic
UL,Louisiana,automatic
ULM,Louisiana Monroe,manual
UMBC,UMBC,automatic
UMES,Maryland Eastern Shore,automatic
UML,UMass Lowell,automatic
UNA,North Alabama,automatic
UNC,North Carolina,automatic
UNCA,UNC Asheville,automatic
UNCG,UNC Greensboro,automatic
UNCO,Northern Colorado,automatic
UNCW,UNC Wilmington,automatic
UND,North Dakota,automatic
UNF,North Florida,automatic
UNH,New Hampshire,automatic
UNI,Northern Iowa,automatic
UNLV,UNLV,automatic
UNM,New Mexico,automatic
UNO,New Orleans,automatic
UNT,North Texas,automatic
UPST,South Carolina,automatic
URI,Rhode Island,automatic
USA,South Alabama,automatic
USC,USC,automatic
USD,San Diego,automatic
USF,South Florida,automatic
USM,Southern Miss,automatic
USU,Utah St.,automatic
UTA,UT Arlington,automatic
UTAH,Utah,automatic
UTC,Chattanooga,automatic
UTEP,UTEP,automatic
UTM,Tennessee Martin,manual
UTSA,UTSA,automatic
UTU,Utah Tech,automatic
UVA,Virginia,automatic
UVM,Vermont,automatic
UVU,Utah Valley,automatic
VAL,Valparaiso,automatic
VAN,Vanderbilt,automatic
